,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
293,CHEMBL314912,COC(=O)C1C(OC(c2ccc(F)cc2)c2ccc(F)cc2)CC2C[C@@H](O)C1N2C,active,417.45200000000017,3.065900000000001,1.0,5.0,5.200659450546418
295,CHEMBL42553,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)c(Cl)c1)N2C,active,328.23900000000003,3.732700000000003,0.0,3.0,8.958607314841775
297,CHEMBL300226,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,active,385.245,3.0305000000000017,0.0,3.0,8.795880017344075
299,CHEMBL116463,N#Cc1ccc(CCOC(=O)NC2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,active,517.6200000000002,6.181880000000007,1.0,4.0,6.1073489661227
300,CHEMBL326538,O=C(OCc1cccc(Oc2ccccc2)c1)N1CCC2(CC1)C(=O)NCN2c1ccccc1,active,457.53000000000026,4.544000000000004,1.0,5.0,5.531652669587842
301,CHEMBL326263,N#Cc1ccc(CCOC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,active,503.59300000000013,5.745480000000006,0.0,4.0,6.001740661576301
302,CHEMBL325945,O=c1[nH]c2ccccc2n(C2CCN(Cc3cc4c(cc3Cl)OCO4)CC2)c1=O,active,413.86100000000016,2.9090000000000016,1.0,6.0,5.818156412055227
304,CHEMBL115280,O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,active,413.52100000000013,4.407400000000004,1.0,4.0,5.647817481888637
305,CHEMBL117537,O=C(CCCc1ccccc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,active,476.61100000000016,6.044000000000007,0.0,2.0,6.020451625295905
306,CHEMBL325516,O=C(OCCc1ccc(F)cc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,active,496.5730000000002,6.012900000000006,0.0,3.0,5.782516055786093
307,CHEMBL440554,CC[C@H](C)[C@H](C(=O)O)N1C[C@H](CN2CCC(c3cc(Cc4ccc(OC(F)(F)F)cc4)nn3CC)CC2)[C@@H](c2cccc(F)c2)C1,active,644.7540000000001,6.925800000000008,1.0,6.0,5.443697499232712
308,CHEMBL422290,CSCCSCCC(=O)OC[C@@H]1C2CCC(C[C@@H]1c1ccc(F)cc1)N2C,active,411.6080000000001,4.4215000000000035,0.0,5.0,9.643974142806877
309,CHEMBL422290,CSCCSCCC(=O)OC[C@@H]1C2CCC(C[C@@H]1c1ccc(F)cc1)N2C,active,411.6080000000001,4.4215000000000035,0.0,5.0,8.244887733604928
310,CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,active,277.33899999999994,2.5650000000000004,0.0,3.0,8.581698708680255
311,CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,active,277.33899999999994,2.5650000000000004,0.0,3.0,6.856985199745905
312,CHEMBL417877,COC(=O)[C@@H](c1ccc(Cl)c(Cl)c1)[C@@H]1CCCCO1,active,303.1850000000001,3.8191000000000024,0.0,3.0,7.536107011014093
313,CHEMBL796,COC(=O)C(c1ccccc1)C1CCCCN1,inactive,233.31099999999995,2.0852999999999997,1.0,3.0,7.769551078621726
314,CHEMBL37262,COC(=O)[C@H](c1ccc(Cl)c(Cl)c1)[C@@H]1CCCCO1,active,303.1850000000001,3.8191000000000024,0.0,3.0,6.714442690992226
315,CHEMBL827,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1,active,233.31099999999995,2.0852999999999997,1.0,3.0,7.055517327849832
317,CHEMBL41011,COC(=O)[C@H](c1ccc(Cl)c(Cl)c1)[C@H]1CCCCO1,active,303.1850000000001,3.8191000000000024,0.0,3.0,7.769551078621726
318,CHEMBL290634,COC(=O)[C@@H](c1ccccc1)[C@@H]1CCCCN1,active,233.31099999999995,2.0852999999999997,1.0,3.0,5.920818753952375
319,CHEMBL331799,CNCC1C2CCC(C2)C1c1ccc2ccccc2c1,active,265.40000000000003,4.188900000000003,1.0,1.0,7.060480747381382
320,CHEMBL417877,COC(=O)[C@@H](c1ccc(Cl)c(Cl)c1)[C@@H]1CCCCO1,active,303.1850000000001,3.8191000000000024,0.0,3.0,7.468521082957745
321,CHEMBL290510,COC(=O)[C@H](c1ccccc1)[C@@H]1CCCCO1,active,234.29499999999993,2.5123000000000006,0.0,3.0,4.886056647693163
322,CHEMBL40169,COC(=O)C(c1ccc(Cl)c(Cl)c1)C1CCCCC1,active,301.21300000000014,4.830300000000003,0.0,2.0,6.835647144215563
324,CHEMBL113136,CN(C)C[C@H]1C2CCC(CC2)[C@@H]1c1cccc(Cl)c1,active,277.83899999999994,4.421400000000004,0.0,1.0,6.782516055786093
325,CHEMBL286937,COC(=O)[C@@H](c1ccccc1)[C@@H]1CCCCO1,active,234.29499999999993,2.5123000000000006,0.0,3.0,5.522878745280337
326,CHEMBL37918,COC(=O)[C@@H](c1ccc(Cl)c(Cl)c1)[C@H]1CCCCO1,active,303.1850000000001,3.8191000000000024,0.0,3.0,6.133122185662502
327,CHEMBL37262,COC(=O)[C@H](c1ccc(Cl)c(Cl)c1)[C@@H]1CCCCO1,active,303.1850000000001,3.8191000000000024,0.0,3.0,6.543633966870957
328,CHEMBL322067,CN(C)C[C@@H]1C2CCC(CC2)[C@@H]1c1ccc(Cl)c(Cl)c1,active,312.284,5.074800000000005,0.0,1.0,7.552841968657781
329,CHEMBL109517,CN(C)C[C@@H]1C2CCC(C2)[C@H]1c1ccc2ccccc2c1,active,279.427,4.531100000000004,0.0,1.0,7.031517051446065
330,CHEMBL323447,CN(C)CC1C2CCC(C2)C1c1cccc2ccccc12,active,279.427,4.531100000000004,0.0,1.0,5.8198741248359465
331,CHEMBL432482,N#CC(c1ccc(Cl)c(Cl)c1)C1CCCCC1,inactive,268.18699999999995,5.180880000000003,0.0,1.0,6.896196279044043
333,CHEMBL111128,CNC[C@H]1C2CCC(C2)[C@@H]1c1ccc2ccccc2c1,active,265.40000000000003,4.188900000000003,1.0,1.0,7.0655015487564325
334,CHEMBL38190,COC(=O)[C@H](c1ccc2ccccc2c1)[C@@H]1CCCCO1,active,284.355,3.6655000000000024,0.0,3.0,5.3979400086720375
335,CHEMBL326466,CN(C)C[C@H]1C2CCC(C2)[C@@H]1c1ccc2ccccc2c1,active,279.427,4.531100000000004,0.0,1.0,7.119186407719209
336,CHEMBL288186,COC(=O)[C@@H](c1ccc2ccccc2c1)[C@@H]1CCCCO1,active,284.355,3.6655000000000024,0.0,3.0,6.366531544420414
337,CHEMBL186501,COC(=O)C1=C(c2ccccc2)CC2CCC1S2,active,260.35799999999995,3.281100000000002,0.0,3.0,6.040958607678906
338,CHEMBL363510,COC(=O)C1=C(c2ccc(F)cc2)CC2CCC1S2,active,278.34799999999996,3.420200000000002,0.0,3.0,6.657577319177793
339,CHEMBL186447,COC(=O)C1=C(c2ccc(Cl)cc2)CC2CCC1S2,active,294.80299999999994,3.9345000000000026,0.0,3.0,7.886056647693163
340,CHEMBL187695,COC(=O)C1=C(c2ccc(Br)cc2)CC2CCC1S2,active,339.2540000000001,4.043600000000002,0.0,3.0,8.040958607678906
341,CHEMBL364146,COC(=O)C1=C(c2ccc(I)cc2)CC2CCC1S2,active,386.25400000000013,3.8857000000000026,0.0,3.0,8.173925197299173
344,CHEMBL184867,COC(=O)C1=C(c2ccccc2)CC2CCC1O2,active,244.28999999999996,2.5645000000000007,0.0,3.0,5.0
345,CHEMBL361493,COC(=O)C1=C(c2ccc(F)cc2)CC2CCC1O2,active,262.28,2.7036000000000007,0.0,3.0,5.5638373529592435
346,CHEMBL185792,COC(=O)C1=C(c2ccc(Cl)cc2)CC2CCC1O2,active,278.73499999999996,3.217900000000002,0.0,3.0,6.623423042943488
347,CHEMBL186488,COC(=O)C1=C(c2ccc(Br)cc2)CC2CCC1O2,active,323.1860000000001,3.3270000000000017,0.0,3.0,7.2076083105017466
348,CHEMBL187211,COC(=O)C1=C(c2ccc(I)cc2)CC2CCC1O2,active,370.18600000000015,3.169100000000002,0.0,3.0,7.167491087293763
349,CHEMBL169429,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2CCC1O2,inactive,313.18000000000006,3.8713000000000024,0.0,3.0,7.920818753952375
350,CHEMBL185169,COC(=O)C1=C(c2ccc3ccccc3c2)CC2CCC1O2,active,294.35,3.7177000000000024,0.0,3.0,7.698970004336019
351,CHEMBL1722,COC(=O)C(c1ccccc1)C1CCCCN1.Cl,active,269.77199999999993,2.5071000000000008,1.0,3.0,7.701146923590294
352,CHEMBL1722,COC(=O)C(c1ccccc1)C1CCCCN1.Cl,active,269.77199999999993,2.5071000000000008,1.0,3.0,6.914709421769935
353,CHEMBL2093958,CCOC(=O)[C@@H](c1ccccc1)[C@@H]1CCCCN1.Cl,active,283.7989999999999,2.897200000000001,1.0,3.0,7.568636235841013
354,CHEMBL2093958,CCOC(=O)[C@@H](c1ccccc1)[C@@H]1CCCCN1.Cl,active,283.7989999999999,2.897200000000001,1.0,3.0,6.638272163982407
356,CHEMBL2093958,CCOC(=O)[C@@H](c1ccccc1)[C@@H]1CCCCN1.Cl,inactive,283.7989999999999,2.897200000000001,1.0,3.0,5.568636235841013
359,CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,active,303.35800000000006,1.8677,0.0,5.0,6.539102157243452
360,CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,inactive,303.35800000000006,1.8677,0.0,5.0,6.43533393574791
